From,To,Revenue
1/12/2016,7/12/2016,0.0
8/12/2016,14/12/2016,0.0
15/12/2016,21/12/2016,0.0
22/12/2016,28/12/2016,0.0
29/12/2016,4/1/2017,0.0
5/1/2017,11/1/2017,0.0
12/1/2017,18/1/2017,0.0
19/1/2017,25/1/2017,0.0
26/1/2017,1/2/2017,0.0
2/2/2017,8/2/2017,0.0
9/2/2017,15/2/2017,0.0
16/2/2017,22/2/2017,0.0
23/2/2017,1/3/2017,0.0
2/3/2017,8/3/2017,0.0
9/3/2017,15/3/2017,0.0
16/3/2017,22/3/2017,0.0
23/3/2017,29/3/2017,0.0
30/3/2017,5/4/2017,0.0
6/4/2017,12/4/2017,0.0
13/4/2017,19/4/2017,0.0
20/4/2017,26/4/2017,0.0
27/4/2017,3/5/2017,0.0
4/5/2017,10/5/2017,0.0
11/5/2017,17/5/2017,0.0
18/5/2017,24/5/2017,0.0
25/5/2017,31/5/2017,0.0
1/6/2017,7/6/2017,0.0
8/6/2017,14/6/2017,0.0
15/6/2017,21/6/2017,0.0
22/6/2017,28/6/2017,0.0
29/6/2017,5/7/2017,0.0
6/7/2017,12/7/2017,0.0
13/7/2017,19/7/2017,0.0
20/7/2017,26/7/2017,0.0
27/7/2017,2/8/2017,0.0
3/8/2017,9/8/2017,0.0
10/8/2017,16/8/2017,0.0
17/8/2017,23/8/2017,0.0
24/8/2017,30/8/2017,0.0
31/8/2017,6/9/2017,0.0
7/9/2017,13/9/2017,0.0
14/9/2017,20/9/2017,0.0
21/9/2017,27/9/2017,0.0
28/9/2017,4/10/2017,0.0
5/10/2017,11/10/2017,0.0
12/10/2017,18/10/2017,0.0
19/10/2017,25/10/2017,0.0
26/10/2017,1/11/2017,0.0
2/11/2017,8/11/2017,0.0
9/11/2017,15/11/2017,0.0
16/11/2017,22/11/2017,0.0
23/11/2017,29/11/2017,0.0
30/11/2017,6/12/2017,0.0
7/12/2017,13/12/2017,0.0
14/12/2017,20/12/2017,85.0
21/12/2017,27/12/2017,0.0
28/12/2017,3/1/2018,0.0
4/1/2018,10/1/2018,0.0
11/1/2018,17/1/2018,0.0
18/1/2018,24/1/2018,0.0
25/1/2018,31/1/2018,0.0
1/2/2018,7/2/2018,0.0
8/2/2018,14/2/2018,0.0
15/2/2018,21/2/2018,0.0
22/2/2018,28/2/2018,0.0
1/3/2018,7/3/2018,0.0
8/3/2018,14/3/2018,0.0
15/3/2018,21/3/2018,0.0
22/3/2018,28/3/2018,0.0
29/3/2018,4/4/2018,0.0
5/4/2018,11/4/2018,0.0
12/4/2018,18/4/2018,0.0
19/4/2018,25/4/2018,0.0
26/4/2018,2/5/2018,0.0
3/5/2018,9/5/2018,0.0
10/5/2018,16/5/2018,0.0
17/5/2018,23/5/2018,0.0
24/5/2018,30/5/2018,0.0
31/5/2018,6/6/2018,0.0
7/6/2018,13/6/2018,0.0
14/6/2018,20/6/2018,0.0
21/6/2018,27/6/2018,0.0
28/6/2018,4/7/2018,0.0
5/7/2018,11/7/2018,0.0
12/7/2018,18/7/2018,0.0
19/7/2018,25/7/2018,0.0
26/7/2018,1/8/2018,0.0
2/8/2018,8/8/2018,0.0
9/8/2018,15/8/2018,0.0
16/8/2018,22/8/2018,0.0
23/8/2018,29/8/2018,0.0
30/8/2018,5/9/2018,0.0
6/9/2018,12/9/2018,0.0
13/9/2018,19/9/2018,0.0
20/9/2018,26/9/2018,0.0
27/9/2018,3/10/2018,0.0
4/10/2018,10/10/2018,0.0
11/10/2018,17/10/2018,0.0
18/10/2018,24/10/2018,0.0
25/10/2018,31/10/2018,0.0
1/11/2018,7/11/2018,0.0
8/11/2018,14/11/2018,0.0
15/11/2018,21/11/2018,0.0
22/11/2018,28/11/2018,0.0
29/11/2018,1/12/2018,0.0
